relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.7602444887161255,0.6694751381874084,0.8344383239746094,0.8762891888618469,0.8999079465866089,0.9049263596534729,0.4959692656993866,0.3033846318721771,0.7335641384124756,0.6063665151596069,0.8447036147117615,0.8899129629135132,0.9129083156585693,0.9177314639091492
binding,0.646135151386261,0.5273527503013611,0.7463951706886292,0.7949367165565491,0.8282883763313293,0.8362135291099548,,,0.645612895488739,0.4959483742713928,0.7795146107673645,0.8278530240058899,0.8574814200401306,0.8648096323013306
expression,0.8615601658821106,0.84079909324646,0.8753026723861694,0.886803925037384,0.8989104628562927,0.9019370675086975,,,0.8595779538154602,0.839066743850708,0.8733459711074829,0.8847809433937073,0.8952178955078125,0.898104190826416
activation,0.9076728820800781,0.8822530508041382,0.9235777258872986,0.9419757127761841,0.9544296860694885,0.9564110040664673,,,0.909127950668335,0.8781724572181702,0.932396650314331,0.9518048763275146,0.9621400833129883,0.9636006355285645
catalysis,0.46000704169273376,0.1494370549917221,0.71033775806427,0.8474923372268677,0.9058341979980469,0.9201637506484985,,,0.49398231506347656,0.1622537523508072,0.7788539528846741,0.8914099931716919,0.9335238337516785,0.9433050155639648
reaction,0.5849129557609558,0.3192526400089264,0.8172217607498169,0.9252640008926392,0.9545085430145264,0.9601949453353882,,,0.5857915878295898,0.2916737496852875,0.8510954976081848,0.9398092031478882,0.9671347141265869,0.9711825847625732
ptmod,0.9189011454582214,0.8904337882995605,0.9396551251411438,0.9616239666938782,0.968298077583313,0.9688542485237122,,,0.9115737676620483,0.8778818249702454,0.9386499524116516,0.9599449634552002,0.9667720198631287,0.9675102829933167
inhibition,0.9346556067466736,0.9131227731704712,0.9447144865989685,0.9678007960319519,0.9854192137718201,0.9866343140602112,,,0.9135938882827759,0.8844037652015686,0.9289665818214417,0.9567887187004089,0.9813953638076782,0.9826214909553528
