relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.7066753506660461,0.6050184369087219,0.7745396494865417,0.832136332988739,0.8857274651527405,0.905478835105896,0.4679355025291443,0.27972668409347534,0.677222490310669,0.5362089276313782,0.7849180698394775,0.8508797287940979,0.9024797677993774,0.9212905168533325
binding,0.5500205159187317,0.4193725883960724,0.6319207549095154,0.708970844745636,0.7930654883384705,0.8257567286491394,,,0.5530677437782288,0.3872680366039276,0.6755969524383545,0.7581886649131775,0.8332820534706116,0.8616024851799011
expression,0.839400589466095,0.8044794797897339,0.8559322357177734,0.877118706703186,0.9019370675086975,0.9128329753875732,,,0.8416122794151306,0.8047992587089539,0.8607746958732605,0.8820000290870667,0.905605673789978,0.9153421521186829
activation,0.8681141138076782,0.828191339969635,0.8873478770256042,0.9187659621238708,0.9555618762969971,0.9629210829734802,,,0.8578404188156128,0.8092401027679443,0.882064163684845,0.9258538484573364,0.9649618864059448,0.9719423651695251
catalysis,0.45867013931274414,0.15148413181304932,0.6980552673339844,0.8341862559318542,0.8986693620681763,0.9314227104187012,,,0.49404454231262207,0.16461817920207977,0.7699904441833496,0.8851507306098938,0.9325489401817322,0.9553127884864807
reaction,0.5361924767494202,0.23476848006248474,0.7993501424789429,0.9236392974853516,0.9634443521499634,0.978066623210907,,,0.5398613810539246,0.21115358173847198,0.8387629389762878,0.9374459981918335,0.9700062274932861,0.9833382964134216
ptmod,0.9082229137420654,0.8743047714233398,0.9271412491798401,0.9530032873153687,0.9769187569618225,0.9833147525787354,,,0.8942148089408875,0.853906512260437,0.9174928069114685,0.9461714029312134,0.97359299659729,0.9813392162322998
inhibition,0.9259850382804871,0.9082624912261963,0.9313487410545349,0.947144627571106,0.9659781455993652,0.9750911593437195,,,0.902309238910675,0.8790802955627441,0.9104678630828857,0.9303041100502014,0.9530377388000488,0.9675170183181763
