relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.3743302524089813,0.24106815457344055,0.4328729510307312,0.5513352155685425,0.666528582572937,0.7240331768989563,0.3573843538761139,0.1803821176290512,0.3742837905883789,0.2262948900461197,0.441209077835083,0.5666400790214539,0.6918587684631348,0.7515812516212463
binding,0.2699054777622223,0.15410016477108002,0.3128233253955841,0.3939460515975952,0.5046780109405518,0.5673087239265442,,,0.2956407964229584,0.16114281117916107,0.34956032037734985,0.4452345669269562,0.5686830282211304,0.6307993531227112
expression,0.419045090675354,0.3353511095046997,0.392857164144516,0.5962470173835754,0.6325666308403015,0.6549637317657471,,,0.4171159863471985,0.33285853266716003,0.3863787055015564,0.5960903763771057,0.6373111009597778,0.6630159020423889
activation,0.507781445980072,0.37786585092544556,0.6144919395446777,0.7141239643096924,0.8216813206672668,0.8703651428222656,,,0.4767327606678009,0.34009888768196106,0.5657920837402344,0.6887524127960205,0.8201675415039062,0.880184531211853
catalysis,0.3160285949707031,0.13920164108276367,0.3776867985725403,0.5701125860214233,0.7041965126991272,0.7809621095657349,,,0.35579150915145874,0.16174155473709106,0.43633005023002625,0.657132625579834,0.7713567018508911,0.8323644399642944
reaction,0.4628470838069916,0.27863526344299316,0.5865150094032288,0.672623872756958,0.7969130873680115,0.8277822732925415,,,0.5039970874786377,0.2982909083366394,0.6609908938407898,0.7378076910972595,0.8419342041015625,0.8694300055503845
ptmod,0.47591859102249146,0.3109009861946106,0.5497775077819824,0.7458286881446838,0.8515016436576843,0.8982201814651489,,,0.44789397716522217,0.2870402932167053,0.513177752494812,0.697483479976654,0.8252557516098022,0.8846319913864136
inhibition,0.3658442497253418,0.21263670921325684,0.4082624614238739,0.49878495931625366,0.7369380593299866,0.8523694276809692,,,0.33569401502609253,0.17848114669322968,0.3841554820537567,0.4810234010219574,0.7026663422584534,0.8130646347999573
