relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.6627336740493774,0.584509015083313,0.7069259881973267,0.7544534206390381,0.8118141293525696,0.8424540162086487,0.19112354516983032,0.09170138835906982,0.6884304285049438,0.6105374097824097,0.7349939346313477,0.7809411287307739,0.8347172141075134,0.8628969788551331
101,0.7500203847885132,0.6363636255264282,0.8181818723678589,0.9090909361839294,0.9090909361839294,0.9090909361839294,,,0.7808197140693665,0.6555583477020264,0.8559607863426208,0.9561619758605957,0.9561619758605957,0.9561619758605957
102,0.38271263241767883,0.3636363744735718,0.3636363744735718,0.3636363744735718,0.4545454680919647,0.4545454680919647,,,0.40723133087158203,0.38710153102874756,0.38710153102874756,0.38710153102874756,0.4830004572868347,0.4830004572868347
103,0.4781874120235443,0.31578946113586426,0.5263158082962036,0.6842105388641357,0.8421052694320679,0.8421052694320679,,,0.4560205638408661,0.2845683693885803,0.5245006084442139,0.6739654541015625,0.8196543455123901,0.8196543455123901
104,0.5125067830085754,0.4148148000240326,0.5999999642372131,0.614814817905426,0.6814814805984497,0.7555555701255798,,,0.5372960567474365,0.4372779130935669,0.6234514117240906,0.6407623291015625,0.712601900100708,0.7891150116920471
105,0.8877005577087402,0.8439716100692749,0.9007092118263245,0.9432623982429504,0.9716311693191528,0.9787233471870422,,,0.8933723568916321,0.8511207699775696,0.9064943194389343,0.9461023211479187,0.9724777936935425,0.9808459877967834
106,0.6461660265922546,0.5868945717811584,0.680911660194397,0.7150996923446655,0.7587844133377075,0.7825260758399963,,,0.7023584246635437,0.6461927890777588,0.7377402186393738,0.7694315314292908,0.8071262836456299,0.8270018696784973
107,0.4981023967266083,0.4113207459449768,0.5301886796951294,0.5924528241157532,0.6754717230796814,0.7132075428962708,,,0.5318954586982727,0.4401196241378784,0.5698212385177612,0.6387572884559631,0.7162972092628479,0.7485781311988831
108,0.0005170630756765604,0.0,0.0,0.0,0.0,0.0,,,0.0005170630756765604,0.0,0.0,0.0,0.0,0.0
109,0.7596365809440613,0.6885964870452881,0.8070175647735596,0.8508772253990173,0.8815789818763733,0.9298245906829834,,,0.7806363105773926,0.7104297876358032,0.8345706462860107,0.8662797808647156,0.8937727212905884,0.9358466267585754
11,0.35819244384765625,0.23999999463558197,0.47999998927116394,0.47999998927116394,0.5999999642372131,0.6800000071525574,,,0.33419013023376465,0.21487797796726227,0.4528414309024811,0.4528414309024811,0.5666829943656921,0.6602344512939453
