relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.3420568108558655,0.20764273405075073,0.39917129278182983,0.514410674571991,0.6384899020195007,0.7018876671791077,0.3421503007411957,0.16609615087509155,0.35491442680358887,0.20558466017246246,0.4240192174911499,0.5435925126075745,0.6745983362197876,0.7384768724441528
binding,0.23748070001602173,0.12317006289958954,0.27198678255081177,0.3529994487762451,0.4762795865535736,0.5460649132728577,,,0.2743126451969147,0.140060693025589,0.3239608407020569,0.41839122772216797,0.5525498390197754,0.6201100945472717
expression,0.36478593945503235,0.2693704664707184,0.3523002564907074,0.5447942018508911,0.5853511095046997,0.6071428656578064,,,0.3691199719905853,0.27270129323005676,0.3567850589752197,0.5525596737861633,0.5891745686531067,0.6092027425765991
activation,0.4722670316696167,0.3331446349620819,0.5861873626708984,0.6778941750526428,0.7942258715629578,0.8443249464035034,,,0.4551871716976166,0.3123365342617035,0.5503301024436951,0.6615177392959595,0.8026373982429504,0.8604023456573486
catalysis,0.3312804698944092,0.15046058595180511,0.4155578315258026,0.581371545791626,0.71033775806427,0.7799385786056519,,,0.3753805160522461,0.17519307136535645,0.49276354908943176,0.6693756580352783,0.7766628265380859,0.8293021321296692
reaction,0.45285308361053467,0.26238828897476196,0.576766848564148,0.6709991693496704,0.7871649265289307,0.8318440318107605,,,0.5067806243896484,0.2982975244522095,0.6658837795257568,0.7421897053718567,0.8374479413032532,0.8771231174468994
ptmod,0.43606916069984436,0.27780866622924805,0.5013903975486755,0.6760289072990417,0.8095105290412903,0.8706896305084229,,,0.4156506657600403,0.2593754529953003,0.4758160710334778,0.6444924473762512,0.7934856414794922,0.8638820648193359
inhibition,0.33510830998420715,0.18226003646850586,0.38092347979545593,0.5139732956886292,0.7253949046134949,0.8390036821365356,,,0.3120451867580414,0.1555565744638443,0.3639005720615387,0.5013383030891418,0.6918622255325317,0.8073453903198242
