relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.9592798948287964,0.9386280179023743,0.9775782823562622,0.9820902943611145,0.9889503121376038,0.9911602735519409,0.5864798426628113,0.38892149925231934,0.9652758240699768,0.9462147951126099,0.9826937317848206,0.9861705899238586,0.9911273121833801,0.9926298260688782
binding,0.9230249524116516,0.8831040263175964,0.9596037268638611,0.9679691791534424,0.9780957698822021,0.9821683764457703,,,0.9373239278793335,0.9022888541221619,0.9703521728515625,0.9761712551116943,0.9825778007507324,0.9852069020271301
expression,0.9756622910499573,0.9648910760879517,0.9848668575286865,0.9872881770133972,0.9915254712104797,0.9927361011505127,,,0.9745422601699829,0.9616397023200989,0.9861144423484802,0.9890615940093994,0.9926812052726746,0.9935619831085205
activation,0.9833496809005737,0.9770733118057251,0.9872629642486572,0.9889612197875977,0.9960373640060425,0.9968865513801575,,,0.9873903393745422,0.9827774167060852,0.9899216890335083,0.9915982484817505,0.9976072311401367,0.9983094930648804
catalysis,0.9771703481674194,0.9600818753242493,0.9928352236747742,0.9959058165550232,0.9979528784751892,0.998976469039917,,,0.9836615920066833,0.9710063338279724,0.9954599142074585,0.9977717399597168,0.9992355704307556,0.999732255935669
reaction,0.9833512306213379,0.9723801612854004,0.9943135976791382,0.995938241481781,0.9967505931854248,0.9983752965927124,,,0.9861609935760498,0.977011501789093,0.9947440028190613,0.9965686202049255,0.9973264932632446,0.9984474182128906
ptmod,0.9896483421325684,0.9860956072807312,0.9911012053489685,0.992491602897644,0.9983314275741577,0.9991657137870789,,,0.9910096526145935,0.9881001114845276,0.9921013712882996,0.9931898713111877,0.9988407492637634,0.9992902874946594
inhibition,0.9963143467903137,0.9945322275161743,0.9975699186325073,0.9987849593162537,0.9993925094604492,0.9993925094604492,,,0.9951366782188416,0.9924044013023376,0.9976041316986084,0.9982419013977051,0.9996554851531982,0.9996554851531982
