relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.7546933889389038,0.6597145795822144,0.835497260093689,0.8750460743904114,0.8928637504577637,0.8973296880722046,0.4855344295501709,0.2926819622516632,0.7253642082214355,0.591401219367981,0.8458623290061951,0.8888542652130127,0.905616819858551,0.909600555896759
binding,0.6424705982208252,0.5178866386413574,0.7536598443984985,0.7951568365097046,0.8237754702568054,0.8319207429885864,,,0.6375259757041931,0.4786245822906494,0.7858967781066895,0.826989471912384,0.8523716330528259,0.8590413331985474
expression,0.8692940473556519,0.8516949415206909,0.8789346814155579,0.8934624791145325,0.8995157480239868,0.9019370675086975,,,0.8649099469184875,0.8470883965492249,0.8733904361724854,0.8910642266273499,0.8959792852401733,0.8984087705612183
activation,0.8863043189048767,0.8550806641578674,0.9063119292259216,0.9300877451896667,0.9408435225486755,0.9428248405456543,,,0.8811953663825989,0.8404126167297363,0.9101272225379944,0.9401153326034546,0.9493237137794495,0.9510427117347717
catalysis,0.5024484992027283,0.2026612013578415,0.7502558827400208,0.874104380607605,0.9027635455131531,0.9089047908782959,,,0.5305087566375732,0.21062071621418,0.810575544834137,0.908852219581604,0.9288816452026367,0.9343300461769104
reaction,0.5697251558303833,0.28350934386253357,0.8237205743789673,0.9268887042999268,0.956133246421814,0.9601949453353882,,,0.5683559775352478,0.25139784812927246,0.8610621690750122,0.9434624910354614,0.9646632075309753,0.967348575592041
ptmod,0.9049595594406128,0.8743047714233398,0.9271412491798401,0.9518909454345703,0.9538375735282898,0.9538375735282898,,,0.8959161639213562,0.8597306609153748,0.9238426685333252,0.9501674175262451,0.9526883363723755,0.9526883363723755
inhibition,0.9363608360290527,0.9143378138542175,0.9507898092269897,0.9732685685157776,0.9781288504600525,0.9787363409996033,,,0.918136477470398,0.8898472785949707,0.9381859302520752,0.9658312797546387,0.9715647101402283,0.9723315834999084
