relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.7677942514419556,0.6832873225212097,0.8430018424987793,0.8717771768569946,0.8879834413528442,0.8906537890434265,0.48454731702804565,0.29412129521369934,0.7419263124465942,0.6207441687583923,0.8536996841430664,0.8857589960098267,0.9014632701873779,0.9036296010017395
binding,0.6460773348808289,0.5290038585662842,0.7489268183708191,0.7929553985595703,0.8181617856025696,0.8228948712348938,,,0.6408584713935852,0.4903426170349121,0.7786557078361511,0.8234742879867554,0.8463459014892578,0.8500111103057861
expression,0.8575981259346008,0.8420097231864929,0.8680387735366821,0.8753026723861694,0.8849879503250122,0.8886198997497559,,,0.855216383934021,0.8384459018707275,0.8676811456680298,0.8742994666099548,0.8827380537986755,0.8861984014511108
activation,0.9063174724578857,0.8853665590286255,0.9261251091957092,0.9320690631866455,0.9377300143241882,0.9385791420936584,,,0.9158814549446106,0.8891607522964478,0.9427356123924255,0.9480847120285034,0.9530900716781616,0.9540344476699829
catalysis,0.5292020440101624,0.24667347967624664,0.775844395160675,0.8587512373924255,0.8986693620681763,0.9017400145530701,,,0.5557781457901001,0.25379613041877747,0.8283241391181946,0.8980204463005066,0.9267462491989136,0.9286449551582336
reaction,0.6406983137130737,0.39967507123947144,0.8708367347717285,0.9203899502754211,0.9455727338790894,0.9455727338790894,,,0.6275954246520996,0.3537696599960327,0.8917978405952454,0.9320223331451416,0.9533604383468628,0.9533604383468628
ptmod,0.9281132817268372,0.9104560017585754,0.9432702660560608,0.950778603553772,0.9546718001365662,0.9549499154090881,,,0.9210339188575745,0.8993801474571228,0.9401464462280273,0.9496415853500366,0.9525743722915649,0.9527667760848999
inhibition,0.9385669231414795,0.916767954826355,0.9586877822875977,0.972661018371582,0.9744836091995239,0.975698709487915,,,0.9187787771224976,0.8894515633583069,0.9434881210327148,0.9646705985069275,0.9671670794487,0.9684091806411743
