relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.35367244482040405,0.24839673936367035,0.40031349658966064,0.4649422764778137,0.5533703565597534,0.6046030521392822,0.29060834646224976,0.1511576920747757,0.362999826669693,0.2553231120109558,0.41103509068489075,0.4777016341686249,0.5681803822517395,0.6203643679618835
concept:academicprogramatuniversity,0.6692935228347778,0.6363636255264282,0.6363636255264282,0.6363636255264282,0.8181818723678589,0.9090909361839294,,,0.6917911171913147,0.6555583477020264,0.6555583477020264,0.6555583477020264,0.8559607863426208,0.9561619758605957
concept:acquired,0.20039963722229004,0.1818181872367859,0.1818181872367859,0.1818181872367859,0.1818181872367859,0.27272728085517883,,,0.2117948681116104,0.19197909533977509,0.19197909533977509,0.19197909533977509,0.19197909533977509,0.28948667645454407
concept:acquiredby,0.09581228345632553,0.0,0.05263157933950424,0.15789473056793213,0.2631579041481018,0.5263158082962036,,,0.1023545190691948,0.0,0.059367816895246506,0.1747657060623169,0.29728880524635315,0.5690785050392151
concept:agentactsinlocation,0.13434778153896332,0.05925925821065903,0.16296295821666718,0.192592591047287,0.2518518567085266,0.3185185194015503,,,0.13956686854362488,0.05986776947975159,0.172820582985878,0.2050081193447113,0.2578010559082031,0.32778871059417725
concept:agentbelongstoorganization,0.6176153421401978,0.5106382966041565,0.6666666269302368,0.7659574151039124,0.8226950168609619,0.8652482032775879,,,0.6102889180183411,0.5034876465797424,0.6578598022460938,0.7616362571716309,0.812070369720459,0.8548975586891174
concept:agentcollaborateswithagent,0.38864991068840027,0.26020893454551697,0.470085471868515,0.5346628427505493,0.6106362342834473,0.659069299697876,,,0.42080962657928467,0.28418025374412537,0.5135417580604553,0.5770233273506165,0.6504949331283569,0.697060763835907
concept:agentcompeteswithagent,0.2205374389886856,0.14339622855186462,0.23773585259914398,0.2792452871799469,0.35849058628082275,0.4150943458080292,,,0.21925044059753418,0.13666900992393494,0.23881201446056366,0.27952858805656433,0.3713551163673401,0.42832279205322266
concept:agentcontributedtocreativework,0.0005130836507305503,0.0,0.0,0.0,0.0,0.0,,,0.0005130836507305503,0.0,0.0,0.0,0.0,0.0
concept:agentcontrols,0.4193820655345917,0.25438597798347473,0.5482456088066101,0.6140350699424744,0.7017543911933899,0.7236841917037964,,,0.4429073631763458,0.28292709589004517,0.5701771378517151,0.636202871799469,0.7117660045623779,0.7387868165969849
concept:agentcreated,0.12449003010988235,0.03999999910593033,0.1599999964237213,0.23999999463558197,0.2800000011920929,0.2800000011920929,,,0.12282539159059525,0.04658297076821327,0.15405049920082092,0.22130748629570007,0.24177749454975128,0.24177749454975128
