relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.7010434865951538,0.600552499294281,0.7656077742576599,0.8274862170219421,0.8821823596954346,0.9057551026344299,0.4617917239665985,0.27612707018852234,0.6725301146507263,0.5357368588447571,0.7731351256370544,0.8428447842597961,0.8983964920043945,0.9203271269798279
binding,0.5261814594268799,0.38525041937828064,0.6148596405982971,0.7007154822349548,0.7858007550239563,0.8263071179389954,,,0.5280828475952148,0.3536003530025482,0.6554679274559021,0.7432514429092407,0.8246274590492249,0.8591843843460083
expression,0.8416169881820679,0.8129540085792542,0.8547216057777405,0.8722760677337646,0.8946731686592102,0.9079903364181519,,,0.8447437882423401,0.8170425295829773,0.8569162487983704,0.8750069737434387,0.8979800343513489,0.9108065962791443
activation,0.8802048563957214,0.8502689003944397,0.8870648145675659,0.9215964078903198,0.9572601318359375,0.9657515287399292,,,0.8704337477684021,0.8334991931915283,0.8799576163291931,0.9296570420265198,0.9682521820068359,0.9754678606987
catalysis,0.4757724106311798,0.19344933331012726,0.6919140219688416,0.8239508867263794,0.9027635455131531,0.9324462413787842,,,0.5141722559928894,0.21252554655075073,0.7625985145568848,0.8729153871536255,0.929469645023346,0.951147198677063
reaction,0.558610200881958,0.2891957759857178,0.7822908163070679,0.9098294377326965,0.952071487903595,0.9772542715072632,,,0.5673930048942566,0.2779918909072876,0.8192230463027954,0.923420786857605,0.9606112241744995,0.980305552482605
ptmod,0.9117037057876587,0.8798664808273315,0.9285316467285156,0.9557841420173645,0.9805338978767395,0.9849832653999329,,,0.8990103006362915,0.8617520928382874,0.918769896030426,0.9519901871681213,0.9789206981658936,0.9846107363700867
inhibition,0.920549750328064,0.9040097594261169,0.9228432774543762,0.9404617547988892,0.9611179232597351,0.9708384275436401,,,0.9008121490478516,0.8801615834236145,0.9042928218841553,0.9236183762550354,0.9510466456413269,0.9658224582672119
