relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.7005449533462524,0.596270740032196,0.7727900743484497,0.8305709362030029,0.8852670788764954,0.9036832451820374,0.505315363407135,0.31045785546302795,0.6698250770568848,0.5256303548812866,0.7812904119491577,0.8459395170211792,0.9003199934959412,0.9163830876350403
binding,0.5520986914634705,0.41585031151771545,0.6455696225166321,0.7187671661376953,0.80044025182724,0.829609215259552,,,0.5497012138366699,0.37714773416519165,0.6830922365188599,0.7589213848114014,0.8347631096839905,0.858402669429779
expression,0.8351004719734192,0.8129540085792542,0.8438256978988647,0.8662227988243103,0.8874092102050781,0.8983051180839539,,,0.8349909782409668,0.8144351243972778,0.8427284955978394,0.866064727306366,0.884434163570404,0.893467903137207
activation,0.8703740835189819,0.8304557204246521,0.8890461325645447,0.9238607883453369,0.9569770693778992,0.9629210829734802,,,0.8637011051177979,0.8131340742111206,0.8884815573692322,0.9363475441932678,0.9689789414405823,0.9734097123146057
catalysis,0.43390387296676636,0.12998975813388824,0.6673490405082703,0.7963152527809143,0.875127911567688,0.9150460362434387,,,0.4797447919845581,0.15512488782405853,0.7488313317298889,0.853291392326355,0.9139956831932068,0.9419958591461182
reaction,0.4975137710571289,0.20146222412586212,0.7408611178398132,0.8635255694389343,0.9439480304718018,0.9634443521499634,,,0.5110113024711609,0.1864369511604309,0.7913641333580017,0.8947051167488098,0.9609743356704712,0.972451388835907
ptmod,0.9017364978790283,0.8631812930107117,0.9265850782394409,0.9585650563240051,0.9763625860214233,0.97858726978302,,,0.8907608985900879,0.8464720845222473,0.9210199117660522,0.9551885724067688,0.9749177694320679,0.9769622683525085
inhibition,0.8908833265304565,0.8608748912811279,0.9046173095703125,0.9277035593986511,0.9605103731155396,0.975698709487915,,,0.8631924986839294,0.8272663354873657,0.8789512515068054,0.907778799533844,0.9454562664031982,0.965193510055542
