relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.7524216771125793,0.6591621041297913,0.8307090401649475,0.8706722259521484,0.8924954533576965,0.8981123566627502,0.48789095878601074,0.29402613639831543,0.725468099117279,0.5947138071060181,0.8418323993682861,0.885130763053894,0.9058150053024292,0.9106631875038147
binding,0.6425225138664246,0.5220693349838257,0.748266339302063,0.7894331216812134,0.8231149911880493,0.8309301137924194,,,0.6384297609329224,0.4839385151863098,0.7824996113777161,0.8223167061805725,0.8508981466293335,0.8577540516853333
expression,0.8551609516143799,0.8335351347923279,0.8692494034767151,0.8843826055526733,0.8916465044021606,0.8940678238868713,,,0.8514395356178284,0.8315395712852478,0.8637969493865967,0.8784344792366028,0.8844576478004456,0.8868331909179688
activation,0.8771920800209045,0.8417775630950928,0.8944240212440491,0.9334843158721924,0.9433909058570862,0.9473535418510437,,,0.8759418725967407,0.8316817283630371,0.9001234769821167,0.9455628991127014,0.9553788900375366,0.9578092694282532
catalysis,0.48020246624946594,0.18321391940116882,0.7205731868743896,0.8505629301071167,0.9037870764732361,0.9160695672035217,,,0.5153459310531616,0.19981831312179565,0.7869405746459961,0.8917225003242493,0.9306596517562866,0.9396345615386963
reaction,0.5782628059387207,0.3062550723552704,0.8229082226753235,0.9106417298316956,0.9471973776817322,0.9601949453353882,,,0.5797861814498901,0.2784486711025238,0.8565521240234375,0.9334824681282043,0.9632756114006042,0.9690491557121277
ptmod,0.9022747278213501,0.867630660533905,0.9324249029159546,0.9535594582557678,0.9568964838981628,0.957730770111084,,,0.892749011516571,0.8520491123199463,0.9273189306259155,0.9518069624900818,0.9551816582679749,0.9560460448265076
inhibition,0.9525251984596252,0.9398542046546936,0.9592952728271484,0.9714459776878357,0.9787363409996033,0.9799514412879944,,,0.9449684023857117,0.9306256175041199,0.9534441828727722,0.9657713174819946,0.9738986492156982,0.9753068089485168
