relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.6951468586921692,0.5877532362937927,0.7634899020195007,0.8244935870170593,0.8887661695480347,0.9101289510726929,0.47165200114250183,0.28236839175224304,0.6641719341278076,0.5158645510673523,0.7718349695205688,0.8423216938972473,0.9060346484184265,0.9255000948905945
binding,0.5113207101821899,0.36059439182281494,0.5988993048667908,0.6899284720420837,0.7963676452636719,0.8315905332565308,,,0.5141690969467163,0.3255424499511719,0.6429169774055481,0.7391471862792969,0.8363947868347168,0.8664661049842834
expression,0.8375018239021301,0.8014528155326843,0.8553268909454346,0.877118706703186,0.9025424122810364,0.9176755547523499,,,0.8398892283439636,0.8043729662895203,0.85648512840271,0.8779634833335876,0.9068379998207092,0.9207820296287537
activation,0.8848639726638794,0.8502689003944397,0.9006510376930237,0.9300877451896667,0.9634871482849121,0.9685819745063782,,,0.8736386895179749,0.8305858373641968,0.8933345675468445,0.9346131086349487,0.9723422527313232,0.9771745800971985
catalysis,0.466743528842926,0.16683726012706757,0.7001023292541504,0.8300921320915222,0.9160695672035217,0.9457522630691528,,,0.5024760365486145,0.182524636387825,0.7693776488304138,0.8790818452835083,0.9412298202514648,0.9614729285240173
reaction,0.5308391451835632,0.23476848006248474,0.7871649265289307,0.8911454081535339,0.9585702419281006,0.9805036783218384,,,0.5379967093467712,0.2132580727338791,0.8294642567634583,0.9167455434799194,0.9692867398262024,0.9855602979660034
ptmod,0.923224925994873,0.8976640105247498,0.9371523261070251,0.9591212272644043,0.9771968126296997,0.985539436340332,,,0.9086529016494751,0.8767518997192383,0.9268971085548401,0.9547481536865234,0.9760231971740723,0.9846169352531433
inhibition,0.9198516607284546,0.9003645777702332,0.9258809685707092,0.9404617547988892,0.962940514087677,0.9720535278320312,,,0.8927857875823975,0.8647566437721252,0.901064932346344,0.9260159134864807,0.9550997614860535,0.9664427042007446
