relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.08616667985916138,0.03545327112078667,0.1067226454615593,0.14430104196071625,0.19281604886054993,0.22018349170684814,0.4071728587150574,0.23345887660980225,0.09053797274827957,0.03396400064229965,0.11455100774765015,0.15621992945671082,0.20880354940891266,0.23866131901741028
relatedto,0.05187889188528061,0.005876068491488695,0.07149216532707214,0.1037215068936348,0.1467236429452896,0.17129629850387573,,,0.06215354800224304,0.007098155561834574,0.08785273879766464,0.125388041138649,0.17418862879276276,0.20148330926895142
hascontext,0.043938301503658295,0.023148149251937866,0.0555555559694767,0.07407407462596893,0.09259259700775146,0.0972222238779068,,,0.04485318437218666,0.02382977493107319,0.055911190807819366,0.07561513781547546,0.09425221383571625,0.0994449183344841
isa,0.05749129131436348,0.014471780508756638,0.06415822356939316,0.10757356882095337,0.15822479128837585,0.18716835975646973,,,0.05642344057559967,0.013338994234800339,0.0627375990152359,0.10684230923652649,0.15695622563362122,0.18585748970508575
synonym,0.333757609128952,0.2661249339580536,0.37074658274650574,0.41493144631385803,0.46114781498908997,0.49568310379981995,,,0.2779214382171631,0.2053227573633194,0.31723693013191223,0.3655253052711487,0.4164462685585022,0.4537409245967865
atlocation,0.019923096522688866,0.0030030030757188797,0.019519519060850143,0.028528530150651932,0.051051050424575806,0.07957958430051804,,,0.020823732018470764,0.003085267962887883,0.0208806861191988,0.03019651211798191,0.05271958187222481,0.08312273770570755
etymologicallyrelatedto,0.04555794224143028,0.01621621660888195,0.054054055362939835,0.07567568123340607,0.10810811072587967,0.11891892552375793,,,0.045429036021232605,0.016169404610991478,0.05389801412820816,0.07545721530914307,0.10779602825641632,0.11857563257217407
distinctfrom,0.14506906270980835,0.005494505632668734,0.18681319057941437,0.2857142984867096,0.450549453496933,0.5109890103340149,,,0.16631990671157837,0.009956970810890198,0.211374431848526,0.3245806097984314,0.5258161425590515,0.5868595242500305
haslastsubevent,0.02918059006333351,0.0,0.0,0.05263157933950424,0.10526315867900848,0.10526315867900848,,,0.028238879516720772,0.0,0.0,0.050899870693683624,0.10179974138736725,0.10179974138736725
usedfor,0.04642387107014656,0.013840830884873867,0.044982701539993286,0.07612457126379013,0.12456747889518738,0.15224914252758026,,,0.04875195771455765,0.01557829137891531,0.047564711421728134,0.07875095307826996,0.12867768108844757,0.15916971862316132
