relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.9621289968490601,0.9426795840263367,0.9791896939277649,0.9847606420516968,0.9905157089233398,0.9924033284187317,0.5864678621292114,0.38893580436706543,0.9673011898994446,0.9489919543266296,0.9840691089630127,0.9880701899528503,0.9921096563339233,0.9935078620910645
binding,0.9285386204719543,0.8905888795852661,0.963676393032074,0.9725921750068665,0.9811777472496033,0.9839295148849487,,,0.9407640099525452,0.9065625667572021,0.9732326865196228,0.9792858958244324,0.984587550163269,0.9864464998245239
expression,0.9748218655586243,0.9642857313156128,0.9812349081039429,0.9921308159828186,0.9927361011505127,0.9957627654075623,,,0.9743987321853638,0.9639215469360352,0.9826143980026245,0.9913668036460876,0.9917182922363281,0.9948037266731262
activation,0.9847002029418945,0.9793376922607422,0.9869799017906189,0.9895273447036743,0.9963204264640808,0.9974526166915894,,,0.9882065653800964,0.9838957786560059,0.9898647665977478,0.9919942617416382,0.9980141520500183,0.9986786842346191
catalysis,0.9843944907188416,0.9733878970146179,0.9959058165550232,0.9969293475151062,0.9969293475151062,0.998976469039917,,,0.9876141548156738,0.9779108762741089,0.9977717399597168,0.9985036849975586,0.9985036849975586,0.999732255935669
reaction,0.9882354140281677,0.9805036783218384,0.995938241481781,0.9975629448890686,0.9975629448890686,1.0,,,0.9897769093513489,0.9836458563804626,0.9958755373954773,0.9975839257240295,0.9975839257240295,1.0
ptmod,0.989345371723175,0.9852613806724548,0.9913792610168457,0.9930477738380432,0.9991657137870789,0.999443769454956,,,0.9901682138442993,0.9859663844108582,0.9929665923118591,0.9940635561943054,0.999609112739563,0.9997314214706421
inhibition,0.9941436052322388,0.990279495716095,0.9969623684883118,0.9993925094604492,0.9993925094604492,1.0,,,0.9939242601394653,0.990287721157074,0.9958373308181763,0.9996554851531982,0.9996554851531982,1.0
