relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.9677762389183044,0.950184166431427,0.9838858246803284,0.9876151084899902,0.9919889569282532,0.9932781457901001,0.5862952470779419,0.3887694180011749,0.9712958335876465,0.954490065574646,0.9871766567230225,0.989789605140686,0.992908239364624,0.993668794631958
binding,0.9392267465591431,0.9046780467033386,0.9720418453216553,0.9783158898353577,0.9834892749786377,0.9858007431030273,,,0.9474356770515442,0.9156432151794434,0.9784464240074158,0.9825013279914856,0.9855520129203796,0.9868306517601013
expression,0.9793015122413635,0.9703390002250671,0.9866828322410583,0.9927361011505127,0.9951574206352234,0.9963681101799011,,,0.9788317084312439,0.9698299765586853,0.9851633310317993,0.992467999458313,0.9951200485229492,0.9960430264472961
activation,0.9866707921028137,0.9821681380271912,0.989244282245636,0.9912256002426147,0.9974526166915894,0.9980186820030212,,,0.9898675084114075,0.9864237308502197,0.9920290112495422,0.9931349754333496,0.9987463355064392,0.9989771246910095
catalysis,0.9861482977867126,0.9764585494995117,0.9959058165550232,0.9969293475151062,0.9979528784751892,0.998976469039917,,,0.990272581577301,0.9831364750862122,0.9977717399597168,0.9985036849975586,0.9992355704307556,0.999732255935669
reaction,0.9858108758926392,0.9748172163963318,0.995938241481781,0.9975629448890686,0.9983752965927124,0.9991876482963562,,,0.9869089722633362,0.9770182371139526,0.9957131147384644,0.9976802468299866,0.998465895652771,0.9992329478263855
ptmod,0.9904089570045471,0.9866517782211304,0.992491602897644,0.9936039447784424,0.9991657137870789,0.999443769454956,,,0.9920966625213623,0.9890415668487549,0.9937710762023926,0.9944046139717102,0.9992949962615967,0.9994104504585266
inhibition,0.9993925094604492,0.9987849593162537,1.0,1.0,1.0,1.0,,,0.999660849571228,0.999321460723877,1.0,1.0,1.0,1.0
