relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.7149052619934082,0.6122007369995117,0.7821363210678101,0.8447514176368713,0.8969613313674927,0.9166666865348816,0.4608047902584076,0.27473798394203186,0.6838246583938599,0.5419655442237854,0.789033055305481,0.8618430495262146,0.913191556930542,0.9312189817428589
binding,0.5536947250366211,0.41155749559402466,0.6420473456382751,0.7315354943275452,0.8130984902381897,0.845459520816803,,,0.5499675273895264,0.3710228204727173,0.6782853603363037,0.7754460573196411,0.8503708243370056,0.8779377937316895
expression,0.8561384081840515,0.8299031853675842,0.8716707229614258,0.8855932354927063,0.9049637317657471,0.9207022190093994,,,0.8548985719680786,0.8271890878677368,0.8718278408050537,0.8866902589797974,0.9069269895553589,0.9219323396682739
activation,0.8729709982872009,0.8332861661911011,0.892159640789032,0.9275403618812561,0.9609397649765015,0.9685819745063782,,,0.8642987608909607,0.8170710206031799,0.8858689665794373,0.936626672744751,0.9718393087387085,0.978059709072113
catalysis,0.4594172239303589,0.15046058595180511,0.7031729817390442,0.8433981537818909,0.9140225052833557,0.9416581392288208,,,0.4936646819114685,0.16491062939167023,0.7712562084197998,0.8891862630844116,0.9412113428115845,0.960792064666748
reaction,0.5541754961013794,0.28188464045524597,0.7839155197143555,0.8838343024253845,0.9536961913108826,0.9723801612854004,,,0.5651684403419495,0.26748126745224,0.8287025094032288,0.9103964567184448,0.9634736180305481,0.9791411757469177
ptmod,0.9215036630630493,0.8951612710952759,0.9307563304901123,0.9638486504554749,0.9810900688171387,0.9866517782211304,,,0.9108214378356934,0.8795992732048035,0.9226749539375305,0.9611966013908386,0.9790653586387634,0.9849841594696045
inhibition,0.9441745281219482,0.929526150226593,0.950182318687439,0.9623329639434814,0.9781288504600525,0.9848117232322693,,,0.9320944547653198,0.9143425226211548,0.9398236870765686,0.9518364667892456,0.9724447131156921,0.982276976108551
