relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.1972963660955429,0.09677716344594955,0.20667588710784912,0.28176796436309814,0.41993555426597595,0.4790976345539093,0.2292712926864624,0.07647543400526047,0.2403033822774887,0.1210303083062172,0.2720007300376892,0.35510000586509705,0.48591920733451843,0.5473905205726624
binding,0.17136605083942413,0.06450192630290985,0.19372591376304626,0.2776004374027252,0.3870115578174591,0.44722068309783936,,,0.21603621542453766,0.09089312702417374,0.25803086161613464,0.3445013165473938,0.4627130627632141,0.523667573928833
expression,0.06929739564657211,0.0036319615319371223,0.03026634454727173,0.10593220591545105,0.28692495822906494,0.3093220591545105,,,0.06654489040374756,0.0024294359609484673,0.025629732757806778,0.08779705315828323,0.28173962235450745,0.30185917019844055
activation,0.22172726690769196,0.1452023833990097,0.2040758579969406,0.2521935999393463,0.40701955556869507,0.4698556661605835,,,0.2396608591079712,0.15904663503170013,0.22530177235603333,0.2857140302658081,0.42493173480033875,0.4992232024669647
catalysis,0.3068908154964447,0.12589558959007263,0.405322402715683,0.5414534211158752,0.6581371426582336,0.7400204539299011,,,0.3494168519973755,0.14999373257160187,0.47245556116104126,0.6244609355926514,0.7328173518180847,0.7994527816772461
reaction,0.39930489659309387,0.22177091240882874,0.5044679045677185,0.6019496321678162,0.7311128973960876,0.776604413986206,,,0.4590846598148346,0.263441264629364,0.5925286412239075,0.6783429980278015,0.7932099103927612,0.8322408199310303
ptmod,0.24314776062965393,0.15767519176006317,0.22775304317474365,0.2753058969974518,0.45244714617729187,0.5319799780845642,,,0.2502219080924988,0.15934127569198608,0.24135971069335938,0.29724669456481934,0.4604645073413849,0.5459330677986145
inhibition,0.10014507174491882,0.02065613679587841,0.07411907613277435,0.16524909436702728,0.31773999333381653,0.35236939787864685,,,0.10255598276853561,0.022514650598168373,0.07537805289030075,0.18293176591396332,0.30773496627807617,0.3436138927936554
